Unnamed: 0,Title,Author,Year,Subjects,Filename,Total Number Words,Two Most Common Words,Ratio of Unique and Total Words
68,Autobiography of Benjamin Franklin,Franklin Benjamin Pine Frank Woodworth Smith E Boyd Elmer Boyd ,1706-1869,"['Franklin, Benjamin, 1706-1790', 'Statesmen -- United States -- Biography']",./books/autobiography-of-benjamin-franklin-franklin-benjamin-pine-frank-woodworth-smith-e-boyd-elmer-boyd.txt,81357,"['the', 'of']",0.10419509077276694
69,Tractatus Logico-Philosophicus,Wittgenstein Ludwig Russell Bertrand Ogden C K Charles Kay ,1889-1872,"['Logic, Symbolic and mathematical', 'Language and languages -- Philosophy']",./books/tractatus-logicophilosophicus-wittgenstein-ludwig-russell-bertrand-ogden-c-k-charles-kay.txt,File not found,File not found,0.0
70,Baron Trump's Marvellous Underground Journey,Lockwood Ingersoll Johnson Charles Howard ,1841-1868,"['Fantasy fiction', 'Dogs -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Adventure stories', 'Wit and humor, Juvenile', 'Voyages and travels -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Queens -- Juvenile fiction', 'Kings and rulers -- Juvenile fiction', 'Courtship -- Juvenile fiction', 'Voyages, Imaginary -- Juvenile fiction', 'Youth and death -- Juvenile fiction']",./books/baron-trumps-marvellous-underground-journey-lockwood-ingersoll-johnson-charles-howard.txt,73815,"['the', 'of']",0.09540066382171646
71,Gulliver's Travels into Several Remote Nations of the World,Swift Jonathan ,1667-1745,"['Fantasy fiction', 'Satire', 'Travelers -- Fiction', 'Gulliver, Lemuel (Fictitious character) -- Fiction', 'Voyages, Imaginary -- Early works to 1800']",./books/gullivers-travels-into-several-remote-nations-of-the-world-swift-jonathan.txt,108960,"['the', 'of']",0.07809287812041116
72,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The AfricanWritten By Himself",Equiano Olaudah ,1745-1797,"['Slaves -- United States -- Biography', 'Equiano, Olaudah, 1745-1797', 'Slaves -- Great Britain -- Biography']",./books/the-interesting-narrative-of-the-life-of-olaudah-equiano-or-gustavus-vassa-the-africanwritten-by-himself-equiano-olaudah.txt,86630,"['the', 'and']",0.0852360614105968
73,The Great Gatsby,Fitzgerald F Scott Francis Scott ,1896-1940,"['Psychological fiction', 'First loves -- Fiction', 'Married women -- Fiction', 'Rich people -- Fiction', 'Long Island (N.Y.) -- Fiction']",./books/the-great-gatsby-fitzgerald-f-scott-francis-scott.txt,53223,"['the', 'and']",0.11643462412866618
74,The fauna of the deep sea,Hickson Sydney J Sydney John Lubbock John Sir ,1859-1834,['Marine animals'],./books/the-fauna-of-the-deep-sea-hickson-sydney-j-sydney-john-lubbock-john-sir.txt,39807,"['the', 'of']",0.1246263220036677
75,The Prophet,Gibran Kahlil ,1883-1931,"['Mysticism -- Poetry', 'Prose poems, American']",./books/the-prophet-gibran-kahlil.txt,16039,"['the', 'and']",0.16634453519546105
76,The Boy's Book of Indians and the Wild West,Williams George Alfred ,1875-1932,"['Indians of North America', 'West (U.S.) -- History']",./books/the-boys-book-of-indians-and-the-wild-west-williams-george-alfred.txt,12534,"['the', 'and']",0.20982926440082975
77,Les Misérables,Hugo Victor Hapgood Isabel Florence ,1802-1850,"['Historical fiction', 'Orphans -- Fiction', 'Paris (France) -- Fiction', 'Epic literature', 'Ex-convicts -- Fiction']",./books/les-misérables-hugo-victor-hapgood-isabel-florence.txt,578175,"['the', 'of']",0.04117438491806114
78,The Problems of Philosophy,Russell Bertrand ,1872-1970,"['Knowledge, Theory of', 'Metaphysics', 'Philosophy -- Introductions']",./books/the-problems-of-philosophy-russell-bertrand.txt,46450,"['the', 'of']",0.07728740581270183
79,Oliver Twist,Dickens Charles ,1812-1870,"['Orphans -- Fiction', 'London (England) -- Fiction', 'Bildungsromans', 'Boys -- Fiction', 'Criminals -- Fiction', 'Kidnapping victims -- Fiction']",./books/oliver-twist-dickens-charles.txt,165613,"['the', 'and']",0.06341893450393386
80,The Mysterious Affair at Styles,Christie Agatha ,1890-1976,"['Private investigators -- England -- Fiction', 'Detective and mystery stories', 'Belgians -- England -- Fiction', 'Poirot, Hercule (Fictitious character) -- Fiction']",./books/the-mysterious-affair-at-styles-christie-agatha.txt,61478,"['the', 'i']",0.09165880477569212
81,The Legend of Sleepy Hollow,Irving Washington ,1783-1859,"['Ghosts -- Fiction', 'New York (State) -- History -- 1775-1865 -- Fiction']",./books/the-legend-of-sleepy-hollow-irving-washington.txt,15587,"['the', 'of']",0.23570924488355682
82,"Divine Comedy, Longfellow's Translation, Hell",Dante Alighieri Longfellow Henry Wadsworth ,1265-1807,"['Hell -- Poetry', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English']",./books/divine-comedy-longfellows-translation-hell-dante-alighieri-longfellow-henry-wadsworth.txt,41747,"['the', 'and']",0.1389560926533643
83,"The Monkey's PawThe Lady of the Barge and Others, Part 2.",Jacobs W W William Wymark ,1863-1943,"['Horror tales', 'Wishes -- Fiction']",./books/the-monkeys-pawthe-lady-of-the-barge-and-others-part-2-jacobs-w-w-william-wymark.txt,7528,"['the', 'and']",0.22728480340063761
84,A Journal of the Plague YearWritten by a Citizen Who Continued All the While in London,Defoe Daniel ,1661-1731,"['Historical fiction', 'Great Fire, London, England, 1666 -- Fiction', 'Plague -- Fiction', 'London (England) -- History -- 17th century -- Fiction']",./books/a-journal-of-the-plague-yearwritten-by-a-citizen-who-continued-all-the-while-in-london-defoe-daniel.txt,98659,"['the', 'and']",0.0633799247914534
85,How the Other Half Lives: Studies Among the Tenements of New York,Riis Jacob A Jacob August ,1849-1914,"['Poor -- New York (State) -- New York', 'Tenement houses -- New York (State) -- New York']",./books/how-the-other-half-lives-studies-among-the-tenements-of-new-york-riis-jacob-a-jacob-august.txt,86747,"['the', 'of']",0.10485665210324277
86,Essays of Michel de Montaigne — Complete,Montaigne Michel de Hazlitt William Carew Cotton Charles ,1533-1834,['French essays -- Translations into English'],./books/essays-of-michel-de-montaigne-—-complete-montaigne-michel-de-hazlitt-william-carew-cotton-charles.txt,532502,"['the', 'and']",0.04885052074921784
87,Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Rowlandson Mary White ,1635-1711,"['Rowlandson, Mary White, approximately 1635-1711', ""King Philip's War, 1675-1676"", 'Lancaster (Mass.) -- History -- Colonial period, ca. 1600-1775', 'Massachusetts -- Biography', 'Indian captivities -- Massachusetts']",./books/narrative-of-the-captivity-and-restoration-of-mrs-mary-rowlandson-rowlandson-mary-white.txt,23522,"['and', 'the']",0.11822974236884619
88,The Jungle Book,Kipling Rudyard ,1865-1936,"['Short stories', 'Animals -- Fiction', 'Jungles -- Fiction', 'India -- Fiction', 'Jungle animals -- Fiction', 'Mowgli (Fictitious character) -- Fiction', 'Adventure stories, English', 'Feral children -- Fiction', 'India -- History -- 19th century -- Fiction']",./books/the-jungle-book-kipling-rudyard.txt,55545,"['the', 'and']",0.09071923665496444
89,"Frankenstein; Or, The Modern Prometheus",Shelley Mary Wollstonecraft ,1797-1851,"['Science fiction', 'Horror tales', 'Gothic fiction', 'Scientists -- Fiction', 'Monsters -- Fiction', 'Frankenstein, Victor (Fictitious character) -- Fiction', ""Frankenstein's monster (Fictitious character) -- Fiction""]",./books/frankenstein-or-the-modern-prometheus-shelley-mary-wollstonecraft.txt,81590,"['the', 'and']",0.09290354210074764
